Generic Name,Product,Company,ndc11,ndc_description,pricing_unit,2025,2024,2023,2022,Technology,Mechanism of Action,Corrected EphMRA Code
dupilumab,dupixent,sanofi-aventis u.s. llc,00024591502,DUPIXENT 300 MG/2 ML PEN,ML,960.38764,917.48395,867.73855,818.62128,Monoclonal antibody,Interleukin-13 (IL-13) receptor antagonist; Interleukin-4 (IL-4) receptor antagonist; Interleukin-4 (IL-4) receptor subunit alpha antagonist,L4C (Interleukin Inhibitors)
dupilumab,dupixent,sanofi-aventis u.s. llc,00024591801,DUPIXENT 200 MG/1.14 ML SYRING,ML,1690.24232,1615.26348,1530.50223,1443.87002,Monoclonal antibody,Interleukin-13 (IL-13) receptor antagonist; Interleukin-4 (IL-4) receptor antagonist; Interleukin-4 (IL-4) receptor subunit alpha antagonist,L4C (Interleukin Inhibitors)
dupilumab,dupixent,sanofi-aventis u.s. llc,00024591902,DUPIXENT 200 MG/1.14 ML PEN,ML,1688.56323,1608.23511,,,Monoclonal antibody,Interleukin-13 (IL-13) receptor antagonist; Interleukin-4 (IL-4) receptor antagonist; Interleukin-4 (IL-4) receptor subunit alpha antagonist,L4C (Interleukin Inhibitors)
erenumab,aimovig,amgen inc,55513084101,AIMOVIG 70 MG/ML AUTOINJECTOR,ML,738.50807,725.53066,712.19817,674.93583,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antagonist; Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor; G protein-coupled receptor (GPCR) antagonist,N2C2 (Antimigraine CGRP Antagonists)
erenumab,aimovig,amgen inc,55513084301,AIMOVIG 140 MG/ML AUTOINJECTOR,ML,739.15841,725.15674,711.46525,675.05712,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antagonist; Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor; G protein-coupled receptor (GPCR) antagonist,N2C2 (Antimigraine CGRP Antagonists)
erenumab-aooe,aimovig,amgen inc,55513084101,AIMOVIG 70 MG/ML AUTOINJECTOR,ML,738.50807,725.53066,712.19817,674.93583,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antagonist; Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor; G protein-coupled receptor (GPCR) antagonist,N2C2 (Antimigraine CGRP Antagonists)
erenumab-aooe,aimovig,amgen inc,55513084301,AIMOVIG 140 MG/ML AUTOINJECTOR,ML,739.15841,725.15674,711.46525,675.05712,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antagonist; Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor; G protein-coupled receptor (GPCR) antagonist,N2C2 (Antimigraine CGRP Antagonists)
evolocumab,repatha,amgen usa inc.,72511039302,REPATHA 140 MG/ML SURECLICK,ML,276.4181,,,,Recombinant antibody,Proprotein convertase subtilisin/kexin type 9 (PCSK9) antibody; Proprotein convertase subtilisin/kexin type 9 (PCSK9) inhibitor,C10A4 (PCSK9 Inhibitors)
evolocumab,repatha,amgen usa inc.,72511050101,REPATHA 140 MG/ML SYRINGE,ML,275.72753,,,,Recombinant antibody,Proprotein convertase subtilisin/kexin type 9 (PCSK9) antibody; Proprotein convertase subtilisin/kexin type 9 (PCSK9) inhibitor,C10A4 (PCSK9 Inhibitors)
evolocumab,repatha,amgen usa inc.,72511075001,REPATHA 140 MG/ML SYRINGE,ML,275.72753,270.8868,266.03388,251.21709,Recombinant antibody,Proprotein convertase subtilisin/kexin type 9 (PCSK9) antibody; Proprotein convertase subtilisin/kexin type 9 (PCSK9) inhibitor,C10A4 (PCSK9 Inhibitors)
evolocumab,repatha,amgen usa inc.,72511076002,REPATHA 140 MG/ML SURECLICK,ML,276.4181,271.2088,266.71248,251.85314,Recombinant antibody,Proprotein convertase subtilisin/kexin type 9 (PCSK9) antibody; Proprotein convertase subtilisin/kexin type 9 (PCSK9) inhibitor,C10A4 (PCSK9 Inhibitors)
fremanezumab,ajovy,"teva pharmaceuticals usa, inc.",51759020210,AJOVY 225 MG/1.5 ML AUTOINJECT,ML,483.79281,470.67458,448.78557,427.40974,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
fremanezumab,ajovy,"teva pharmaceuticals usa, inc.",51759020222,AJOVY 225 MG/1.5 ML AUTOINJECTOR (3 PACK),ML,482.27169,469.66339,449.11689,427.73037,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
fremanezumab,ajovy,"teva pharmaceuticals usa, inc.",51759020410,AJOVY 225 MG/1.5 ML SYRINGE,ML,484.19234,470.86464,447.98429,429.2732,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
fremanezumab-vfrm,ajovy,"teva pharmaceuticals usa, inc.",51759020210,AJOVY 225 MG/1.5 ML AUTOINJECT,ML,483.79281,470.67458,448.78557,427.40974,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
fremanezumab-vfrm,ajovy,"teva pharmaceuticals usa, inc.",51759020222,AJOVY 225 MG/1.5 ML AUTOINJECTOR (3 PACK),ML,482.27169,469.66339,449.11689,427.73037,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
fremanezumab-vfrm,ajovy,"teva pharmaceuticals usa, inc.",51759020410,AJOVY 225 MG/1.5 ML SYRINGE,ML,484.19234,470.86464,447.98429,429.2732,Recombinant antibody,Calcitonin gene-related peptide (CGRP) antibody; Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
galcanezumab,emgality,eli lilly and company,00002143611,EMGALITY 120 MG/ML PEN,ML,713.79196,680.70964,654.60694,631.97186,Recombinant antibody,Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
galcanezumab,emgality,eli lilly and company,00002237711,EMGALITY 120 MG/ML SYRINGE,ML,713.44721,680.58752,656.65972,630.62272,Recombinant antibody,Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
galcanezumab,emgality,eli lilly and company,00002311509,EMGALITY 300 MG DOSE (100 MG/ML X 3 SYRINGES),ML,594.31194,567.91637,545.8125,524.69702,Recombinant antibody,Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
galcanezumab-gnlm,emgality,eli lilly and company,00002143611,EMGALITY 120 MG/ML PEN,ML,713.79196,680.70964,654.60694,631.97186,Recombinant antibody,Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
galcanezumab-gnlm,emgality,eli lilly and company,00002237711,EMGALITY 120 MG/ML SYRINGE,ML,713.44721,680.58752,656.65972,630.62272,Recombinant antibody,Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
galcanezumab-gnlm,emgality,eli lilly and company,00002311509,EMGALITY 300 MG DOSE (100 MG/ML X 3 SYRINGES),ML,594.31194,567.91637,545.8125,524.69702,Recombinant antibody,Calcitonin gene-related peptide (CGRP) inhibitor,N2C2 (Antimigraine CGRP Antagonists)
golimumab,simponi,"janssen biotech, inc.",57894007001,SIMPONI 50 MG/0.5 ML SYRINGE,ML,12359.28,11888.32889,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
golimumab,simponi,"janssen biotech, inc.",57894007002,SIMPONI 50 MG/0.5 ML PEN INJEC,ML,12356.68364,11864.0513,11418.02856,10843.33197,Recombinant antibody,Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
golimumab,simponi,"janssen biotech, inc.",57894007102,SIMPONI 100 MG/ML PEN INJECTOR,ML,7091.63104,6818.876,,,Recombinant antibody,Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
guselkumab,tremfya,"janssen biotech, inc.",57894064001,TREMFYA 100 MG/ML SYRINGE,ML,14066.41455,13361.8275,,,Monoclonal antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
guselkumab,tremfya,"janssen biotech, inc.",57894064011,TREMFYA 100 MG/ML ONE-PRESS,ML,14063.16955,13350.90031,12851.4981,12239.522,Monoclonal antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
guselkumab,tremfya,"janssen biotech, inc.",57894065102,TREMFYA 200 MG/2 ML PEN,ML,6999.686,,,,Monoclonal antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
infliximab,inflectra,pfizer laboratories div pfizer inc,00069080901,INFLECTRA 100 MG VIAL,EA,491.54571,504.52167,,,Monoclonal antibody,Interleukin-12 (IL-12) antibody; Interleukin-23 (IL-23) antibody; Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
infliximab,remicade,"janssen biotech, inc.",57894003001,REMICADE 100 MG VIAL,EA,1135.966,1135.966,,,Monoclonal antibody,Interleukin-12 (IL-12) antibody; Interleukin-23 (IL-23) antibody; Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
