input_name,brand_name,labeler_name,ndc11,ndc_description,pricing_unit,nadac_per_unit_2025,nadac_per_unit_2024,nadac_per_unit_2023,nadac_per_unit_2022
adalimumab,Humira,AbbVie Inc.,00074055401,,,,,,
adalimumab,Humira,AbbVie Inc.,00074055402,HUMIRA(CF) PEN 40 MG/0.4 ML,EA,3365.92763,3362.67816,3371.49113,3121.75105
adalimumab,Humira,AbbVie Inc.,00074055471,,,,,,
adalimumab,Humira,AbbVie Inc.,00074055474,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002301,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002302,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002303,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002304,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002305,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002307,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002308,,,,,,
adalimumab,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597054522,,,,,,
adalimumab,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00025033302,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002201,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002202,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002203,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002204,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002205,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002206,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002207,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002208,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002209,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002210,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002211,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606002212,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606002401,,,,,,
adalimumab,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597055580,,,,,,
adalimumab,Adalimumab,Sandoz Inc,61314032720,ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,ML,1592.35758,1590.28426,,
adalimumab,Adalimumab,Sandoz Inc,61314032764,,,,,,
adalimumab,Adalimumab,Sandoz Inc,61314032520,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003001,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003002,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003003,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003004,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003005,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003006,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003007,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003008,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003009,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003010,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003011,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003012,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003013,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003014,,,,,,
adalimumab,Adalimumab,Sandoz Inc,61314039164,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004101,,,,,,
adalimumab,Adalimumab,Sandoz Inc,61314033264,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606003901,,,,,,
